language,name,owner,description,createdAt,defaultBranch,stars,commits
go,moby,moby,Moby Project - a collaborative project for the container ecosystem to assemble container-based systems,2013-01-18T18:10:57Z,master,50048,35621
go,go,golang,The Go programming language,2014-08-19T04:33:40Z,master,45841,37605
go,kubernetes,kubernetes,Production-Grade Container Scheduling and Management,2014-06-06T22:56:04Z,master,40402,69059
go,lantern,getlantern,🔴蓝灯最新版本下载 https://github.com/getlantern/download 🔴 Lantern Latest Download https://github.com/getlantern/download 🔴,2011-02-17T22:12:29Z,devel,37089,6089
go,hugo,gohugoio,The world’s fastest framework for building websites.,2013-07-04T15:26:26Z,master,28129,4538
go,gogs,gogs,Gogs is a painless self-hosted Git service.,2014-02-12T01:57:08Z,master,26674,4970
go,syncthing,syncthing,Open Source Continuous File Synchronization,2013-11-26T09:48:21Z,master,21639,4867
go,go-ethereum,ethereum,Official Go implementation of the Ethereum protocol,2013-12-26T13:05:46Z,master,20179,9962
go,etcd,coreos,Distributed reliable key-value store for the most critical data of a distributed system,2013-07-06T21:57:21Z,master,19886,14548
go,gin,gin-gonic,"Gin is a HTTP web framework written in Go (Golang). It features a Martini-like API with much better performance -- up to 40 times faster. If you need smashing performance, get yourself some Gin.",2014-06-16T23:57:25Z,master,19806,1109
go,prometheus,prometheus,The Prometheus monitoring system and time series database.,2012-11-24T11:14:12Z,master,18365,5145
go,caddy,mholt,"Fast, cross-platform HTTP/2 web server with automatic HTTPS",2015-01-13T19:45:03Z,master,18148,2206
go,traefik,containous,The Cloud Native Edge Router,2015-09-13T19:04:02Z,master,17138,2617
go,beego,astaxie,"beego is an open-source, high-performance web framework for the Go programming language.",2012-02-29T02:32:08Z,master,16630,3183
go,fzf,junegunn,:cherry_blossom: A command-line fuzzy finder,2013-10-23T16:04:23Z,master,15858,1555
go,drone,drone,"Drone is a Continuous Delivery platform built on Docker, written in Go",2014-02-07T07:54:44Z,master,15346,3251
go,frp,fatedier,A fast reverse proxy to help you expose a local server behind a NAT or firewall to the internet.,2015-12-21T15:24:59Z,master,14598,573
go,tidb,pingcap,TiDB is a distributed HTAP database compatible with the MySQL protocol ,2015-09-06T04:01:52Z,master,14517,7173
go,ngrok,inconshreveable,Introspected tunnels to localhost,2013-03-20T09:37:43Z,master,14153,328
go,influxdb,influxdata,"Scalable datastore for metrics, events, and real-time analytics",2013-09-26T14:31:10Z,master,14133,13914
go,cockroach,cockroachdb,"CockroachDB - the open source, cloud-native SQL database.",2014-02-06T00:18:47Z,master,14103,32420
go,hub,github,hub helps you win at git.,2009-12-05T22:15:25Z,master,13452,2653
go,consul,hashicorp,"Consul is a distributed, highly available, and data center aware solution to connect and configure applications across dynamic, distributed infrastructure.",2013-11-04T22:15:27Z,master,13218,8847
go,terraform,hashicorp,"Terraform is a tool for building, changing, and combining infrastructure safely and efficiently.",2014-03-13T22:25:48Z,master,13192,21639
go,nsq,nsqio,A realtime distributed messaging platform,2012-05-12T14:37:08Z,master,13123,1958
go,mattermost-server,mattermost,Open source Slack-alternative in Golang and React - Mattermost,2015-06-15T06:50:02Z,master,12940,10221
go,minio,minio,Minio is an open source object storage server compatible with Amazon S3 APIs,2015-01-14T19:23:58Z,master,12554,5099
go,cayley,cayleygraph,An open-source graph database,2014-06-05T18:49:41Z,master,11625,1262
go,iris,kataras,The fastest backend community-driven web framework on (THIS) Earth. Can your favourite web framework do that? 👉 http://bit.ly/iriscandothat1 or even http://bit.ly/iriscandothat2,2016-01-30T04:36:48Z,master,11444,1267
go,echo,labstack,"High performance, minimalist Go web framework",2015-03-01T17:43:01Z,master,11347,1222
go,faas,openfaas,OpenFaaS - Serverless Functions Made Simple for Docker & Kubernetes,2016-12-22T12:51:39Z,master,11194,1183
go,istio,istio,"Connect, secure, control, and observe services.",2016-11-18T23:57:21Z,master,11027,5333
go,kit,go-kit,A standard library for microservices.,2015-02-03T00:01:19Z,master,10975,1301
go,gotty,yudai,Share your terminal as a web application,2015-08-16T09:48:33Z,master,10783,230
go,minikube,kubernetes,Run Kubernetes locally,2016-04-15T22:38:35Z,master,10454,2767
go,rclone,ncw,"""rsync for cloud storage"" - Google Drive, Amazon Drive, S3, Dropbox, Backblaze B2, One Drive, Swift, Hubic, Cloudfiles, Google Cloud Storage, Yandex Files",2014-03-16T16:19:57Z,master,10425,2473
go,martini,go-martini,Classy web framework for Go,2013-10-30T02:34:07Z,master,10231,591
go,mkcert,FiloSottile,A simple zero-config tool to make locally trusted development certificates with any names you'd like.,2018-06-25T05:33:03Z,master,10189,69
go,revel,revel,"A high productivity, full-stack web framework for the Go language.",2011-12-09T04:10:26Z,master,10185,1510
go,dep,golang,Go dependency management tool,2016-10-07T00:04:51Z,master,10182,3267
go,gorm,jinzhu,"The fantastic ORM library for Golang, aims to be developer friendly",2013-10-25T08:31:38Z,master,10020,1365
go,vault,hashicorp,"A tool for secrets management, encryption as a service, and privileged access management",2015-02-25T00:15:59Z,master,9884,8687
go,v2ray-core,v2ray,A platform for building proxies to bypass network restrictions.,2015-09-04T11:42:53Z,master,9871,3732
go,websocketd,joewalnes,"Turn any program that uses STDIN/STDOUT into a WebSocket server. Like inetd, but for WebSockets. ",2013-02-14T14:52:55Z,master,9796,280
go,micro,zyedidia,A modern and intuitive terminal-based text editor,2016-03-11T02:06:28Z,master,9625,1721
go,gitea,go-gitea,"Git with a cup of tea, painless self-hosted git service",2016-11-01T02:13:26Z,master,9617,6617
go,the-way-to-go_ZH_CN,Unknwon,《The Way to Go》中文译本，中文正式名《Go 入门指南》,2013-03-24T17:18:38Z,master,9481,1197
go,rancher,rancher,Complete container management platform,2014-11-07T20:49:31Z,master,9350,1554
go,goreplay,buger,"GoReplay is an open-source tool for capturing and replaying live HTTP traffic into a test environment in order to continuously test your system with real data. It can be used to increase confidence in code deployments, configuration changes and infrastructure changes.",2013-05-30T09:29:07Z,master,9229,957
go,grumpy,google,Grumpy is a Python to Go source code transcompiler and runtime.,2016-12-21T17:49:01Z,master,9183,331
