language,name,owner,description,createdAt,defaultBranch,stars,commits
java,RxJava,ReactiveX,RxJava – Reactive Extensions for the JVM – a library for composing asynchronous and event-based programs using observable sequences for the Java VM.,2013-01-08T20:11:48Z,2.x,34918,5444
java,elasticsearch,elastic,"Open Source, Distributed, RESTful Search Engine",2010-02-08T13:20:56Z,master,33683,40375
java,retrofit,square,"Type-safe HTTP client for Android and Java by Square, Inc.",2010-09-06T21:39:43Z,master,29237,1618
java,okhttp,square,An HTTP+HTTP/2 client for Android and Java applications.,2012-07-23T13:42:55Z,master,28247,3264
java,spring-boot,spring-projects,Spring Boot,2012-10-19T15:02:57Z,master,28036,18059
java,guava,google,Google core libraries for Java,2014-05-29T16:23:17Z,master,26274,4792
java,interviews,kdn251,Everything you need to know to get the job.,2017-02-14T18:19:25Z,master,25039,417
java,MPAndroidChart,PhilJay,"A powerful 🚀 Android chart view / graph view library, supporting line- bar- pie- radar- bubble- and candlestick charts as well as scaling, dragging and animations.",2014-04-25T14:29:47Z,master,23753,1984
java,spring-framework,spring-projects,Spring Framework,2010-12-08T04:04:45Z,master,23081,17149
java,glide,bumptech,An image loading and caching library for Android focused on smooth scrolling,2013-07-08T22:52:33Z,master,22961,2238
java,lottie-android,airbnb,"Render After Effects animations natively on Android and iOS, Web, and React Native",2016-10-06T22:42:42Z,master,22101,978
java,butterknife,JakeWharton,Bind Android views and callbacks to fields and methods.,2013-03-05T08:18:59Z,master,21848,840
java,incubator-dubbo,apache,"Apache Dubbo (incubating) is a high-performance, java based, open source RPC framework.",2012-06-19T07:56:02Z,master,21035,2493
java,leakcanary,square,A memory leak detection library for Android and Java.,2015-04-29T23:54:16Z,master,20387,584
java,zxing,zxing,"ZXing (""Zebra Crossing"") barcode scanning library for Java, Android",2011-10-12T14:07:27Z,master,19705,3462
java,AndroidUtilCode,Blankj,:fire: Android developers should collect the following utils(updating).,2016-07-30T18:18:32Z,master,19523,903
