login,commits
wchen-r7@github,5465
hdm@github,4631
juanvazquez@github,4342
egypt@github,2709
todb-r7@github,2298
wvu-r7@github,2174
bcook-r7@github,1985
jduck@github,1322
dmaloney-r7@github,1256
meatballs1@github,1079
skape@???,932
jhart-r7@github,889
oj@github,742
kronicdeth@github,701
joevennix@github,572
darkoperator@github,436
firefart@github,436
zerosteiner@github,400
ceballosm@github,368
h00die,356
scriptjunkie@github,342
msjenkins-r7,338
jbarnett-r7@github,326
timwr@github,261
bcoles@github,259
swtornio@github,257
bwatters-r7@github,243
stufus@github,238
m-1-k-3@github,223
pbarry-r7@github,214
