login,commits
nobu,15856
akr,4738
matzbot,3889
nurse,2627
matz,2561
ko1,2220
unak,2037
eban,1414
znz,1066
hsbt,964
normal@b2dd03c8-39d4-4d8f-98ff-823fe69b080e,944
mame,873
drbrain,796
knu,763
kosaki@b2dd03c8-39d4-4d8f-98ff-823fe69b080e,633
shugo,546
zzak,518
tadf@b2dd03c8-39d4-4d8f-98ff-823fe69b080e,486
aamine@b2dd03c8-39d4-4d8f-98ff-823fe69b080e,448
tenderlove,419
marcandre,416
nagai@b2dd03c8-39d4-4d8f-98ff-823fe69b080e,408
k0kubun,389
kou,341
shyouhei,341
duerst@b2dd03c8-39d4-4d8f-98ff-823fe69b080e,335
ocean@b2dd03c8-39d4-4d8f-98ff-823fe69b080e,315
mrkn,303
yugui,298
suketa,284
